Attaching to website_nginx_1, website_blog1_1, website_node2_1, website_node1_1
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET / HTTP/1.1" 200 973 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /css/dist/main.css?1430067513621 HTTP/1.1" 200 24070 "http://jonathankolb.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/vendor.min.js?1430067513621 HTTP/1.1" 200 215641 "http://jonathankolb.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/index-page.js?1430067513620 HTTP/1.1" 200 18997 "http://jonathankolb.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/underscore-min.map HTTP/1.1" 200 973 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/underscore-min.map HTTP/1.1" 200 973 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/underscore-min.map HTTP/1.1" 200 973 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/underscore-min.map HTTP/1.1" 200 973 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/underscore-min.map HTTP/1.1" 200 973 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/underscore-min.map HTTP/1.1" 200 973 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
[36mnginx_1 | [0m71.232.55.23 - - [26/Apr/2015:17:11:32 +0000] "GET /js/dist/underscore-min.map HTTP/1.1" 200 973 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0"
